img1_path,img2_path,y_true,y_pred
1184_AM_Chest_AP5.png,1184_AM_Chest_AP7.png,1,1.0000
1184_AM_Chest_AP5.png,1184_AM_Chest_AP6.png,1,1.0000
1184_AM_Chest_AP7.png,1184_AM_Chest_AP6.png,1,1.0000
968_AM_Chest_AP10.png,968_AM_Chest_AP9.png,1,0.1156
968_AM_Chest_AP10.png,968_AM_Chest_AP6.png,1,0.1156
968_AM_Chest_AP9.png,968_AM_Chest_AP6.png,1,1.0000
1182_AM_Chest_AP7.png,1182_AM_Chest_AP6.png,1,0.8663
1182_AM_Chest_AP7.png,1182_AM_Chest_AP5.png,1,0.8663
1182_AM_Chest_AP6.png,1182_AM_Chest_AP5.png,1,1.0000
689_AM_Chest_AP15.png,689_AM_Chest_AP16.png,1,0.9958
689_AM_Chest_AP15.png,689_AM_Chest_AP12.png,1,0.9998
689_AM_Chest_AP15.png,689_AM_Chest_AP17.png,1,1.0000
689_AM_Chest_AP15.png,689_AM_Chest_AP13.png,1,1.0000
689_AM_Chest_AP15.png,689_AM_Chest_AP14.png,1,1.0000
689_AM_Chest_AP16.png,689_AM_Chest_AP12.png,1,0.9956
689_AM_Chest_AP16.png,689_AM_Chest_AP17.png,1,0.9958
689_AM_Chest_AP16.png,689_AM_Chest_AP13.png,1,0.9958
689_AM_Chest_AP16.png,689_AM_Chest_AP14.png,1,0.9958
689_AM_Chest_AP12.png,689_AM_Chest_AP17.png,1,0.9998
689_AM_Chest_AP12.png,689_AM_Chest_AP13.png,1,0.9998
689_AM_Chest_AP12.png,689_AM_Chest_AP14.png,1,0.9998
689_AM_Chest_AP17.png,689_AM_Chest_AP13.png,1,1.0000
689_AM_Chest_AP17.png,689_AM_Chest_AP14.png,1,1.0000
689_AM_Chest_AP13.png,689_AM_Chest_AP14.png,1,1.0000
965_AM_Chest_AP10.png,965_AM_Chest_AP6.png,1,0.0000
965_AM_Chest_AP10.png,965_AM_Chest_AP9.png,1,1.0000
965_AM_Chest_AP6.png,965_AM_Chest_AP9.png,1,0.0000
735_AM_Chest_AP5.png,735_AM_Chest_AP6.png,1,1.0000
735_AM_Chest_AP5.png,735_AM_Chest_AP7.png,1,1.0000
735_AM_Chest_AP6.png,735_AM_Chest_AP7.png,1,1.0000
766_PM_Chest_AP1.png,766_PM_Chest_AP3.png,1,0.4445
1045_AM_Chest_AP3.png,1045_AM_Chest_AP4.png,1,1.0000
014_PM_Chest_AP3.png,014_PM_Chest_AP5.png,1,0.1406
1078_AM_Chest_AP4.png,1078_AM_Chest_AP3.png,1,0.9999
986_AM_Chest_AP4.png,986_AM_Chest_AP6.png,1,0.9938
172_AM_Chest_AP3.png,172_AM_Chest_AP4.png,1,0.5614
863_AM_Chest_AP9.png,863_AM_Chest_AP8.png,1,1.0000
863_AM_Chest_AP9.png,863_AM_Chest_AP7.png,1,1.0000
863_AM_Chest_AP8.png,863_AM_Chest_AP7.png,1,1.0000
1057_AM_Chest_AP13.png,1057_AM_Chest_AP10.png,1,0.1364
1057_AM_Chest_AP13.png,1057_AM_Chest_AP11.png,1,0.2995
1057_AM_Chest_AP13.png,1057_AM_Chest_AP14.png,1,1.0000
1057_AM_Chest_AP13.png,1057_AM_Chest_AP12.png,1,1.0000
1057_AM_Chest_AP10.png,1057_AM_Chest_AP11.png,1,0.4446
1057_AM_Chest_AP10.png,1057_AM_Chest_AP14.png,1,0.1364
1057_AM_Chest_AP10.png,1057_AM_Chest_AP12.png,1,0.1364
1057_AM_Chest_AP11.png,1057_AM_Chest_AP14.png,1,0.2996
1057_AM_Chest_AP11.png,1057_AM_Chest_AP12.png,1,0.2995
1057_AM_Chest_AP14.png,1057_AM_Chest_AP12.png,1,1.0000
1171_AM_Chest_AP7.png,1171_AM_Chest_AP6.png,1,1.0000
1171_AM_Chest_AP7.png,1171_AM_Chest_AP5.png,1,1.0000
1171_AM_Chest_AP6.png,1171_AM_Chest_AP5.png,1,1.0000
991_AM_Chest_AP8.png,991_AM_Chest_AP7.png,1,1.0000
1127_AM_Chest_AP10.png,1127_AM_Chest_AP12.png,1,0.0077
1127_AM_Chest_AP10.png,1127_AM_Chest_AP9.png,1,0.0000
1127_AM_Chest_AP10.png,1127_AM_Chest_AP11.png,1,0.0000
