ID,label_idx
008, 0
009, 1
011, 2
012, 3
013, 4
014, 5
015, 6
019, 7
022, 8
023, 9
024, 10
031, 11
032, 12
046, 13
047, 14
052, 15
054, 16
056, 17
059, 18
060, 19
067, 20
072, 21
075, 22
076, 23
084, 24
089, 25
092, 26
094, 27
096, 28
097, 29
100, 30
106, 31
107, 32
111, 33
116, 34
122, 35
123, 36
126, 37
129, 38
132, 39
136, 40
139, 41
140, 42
147, 43
150, 44
152, 45
153, 46
155, 47
156, 48
157, 49
160, 50
161, 51
162, 52
163, 53
165, 54
167, 55
171, 56
172, 57
173, 58
176, 59
180, 60
182, 61
185, 62
187, 63
189, 64
191, 65
195, 66
198, 67
201, 68
204, 69
205, 70
210, 71
211, 72
214, 73
215, 74
219, 75
221, 76
223, 77
225, 78
227, 79
229, 80
232, 81
233, 82
234, 83
244, 84
246, 85
247, 86
251, 87
292, 88
296, 89
297, 90
298, 91
301, 92
302, 93
306, 94
314, 95
315, 96
319, 97
320, 98
321, 99
322, 100
323, 101
334, 102
338, 103
339, 104
342, 105
345, 106
346, 107
351, 108
356, 109
360, 110
362, 111
371, 112
375, 113
379, 114
380, 115
383, 116
385, 117
386, 118
390, 119
392, 120
398, 121
399, 122
403, 123
409, 124
412, 125
413, 126
414, 127
419, 128
420, 129
422, 130
424, 131
428, 132
437, 133
440, 134
443, 135
444, 136
445, 137
446, 138
450, 139
451, 140
452, 141
457, 142
463, 143
466, 144
468, 145
471, 146
475, 147
476, 148
478, 149
480, 150
482, 151
485, 152
487, 153
490, 154
492, 155
493, 156
495, 157
498, 158
500, 159
506, 160
510, 161
513, 162
515, 163
523, 164
529, 165
533, 166
538, 167
545, 168
546, 169
547, 170
548, 171
550, 172
551, 173
552, 174
553, 175
554, 176
555, 177
556, 178
557, 179
560, 180
565, 181
572, 182
576, 183
577, 184
579, 185
581, 186
590, 187
591, 188
593, 189
594, 190
606, 191
611, 192
613, 193
616, 194
618, 195
622, 196
626, 197
630, 198
631, 199
632, 200
633, 201
635, 202
636, 203
637, 204
638, 205
640, 206
641, 207
651, 208
652, 209
654, 210
655, 211
658, 212
659, 213
661, 214
668, 215
669, 216
670, 217
674, 218
677, 219
681, 220
682, 221
686, 222
689, 223
691, 224
693, 225
694, 226
698, 227
699, 228
702, 229
712, 230
713, 231
721, 232
725, 233
728, 234
733, 235
735, 236
737, 237
739, 238
740, 239
750, 240
751, 241
757, 242
760, 243
764, 244
765, 245
766, 246
770, 247
771, 248
773, 249
786, 250
792, 251
794, 252
795, 253
797, 254
800, 255
802, 256
805, 257
806, 258
811, 259
813, 260
814, 261
820, 262
822, 263
826, 264
827, 265
829, 266
830, 267
837, 268
838, 269
845, 270
852, 271
856, 272
858, 273
863, 274
864, 275
867, 276
874, 277
876, 278
877, 279
881, 280
